[00001] t,ax,ay,az,gx,gy,gz,press,temp,mx,my,mz,bat_v
[00195] 48,-0.653,0.771,0.124,0.62,2.75,-2.13,100.99,29.32,3889,2901,915,4.024
[00196] 48,-0.617,0.752,0.162,-4.63,2.29,-1.62,96.11,29.33,3883,2906,1010,4.025
[00197] 48,-0.619,0.778,0.144,0.87,-1.54,2.08,100.92,29.31,3829,2971,1035,4.022
[00198] 49,-0.615,0.807,0.146,-1.83,0.93,-0.08,97.52,29.34,3785,3027,1005,4.022
[00199] 49,-0.59,0.833,0.097,-1.13,1.16,3.05,100.71,29.34,3739,3159,952,4.024
[00200] 49,-0.583,0.8,0.143,1.19,-1.61,11.35,100.79,29.36,3649,3280,956,4.03
[00201] 49,-0.518,0.862,0.14,2.02,-0.51,3.31,100.28,29.35,3529,3421,923,4.021
[00202] 50,-0.482,0.859,0.129,3.44,-4.21,21.33,100.08,29.34,3336,3623,916,4.023
[00203] 50,-0.478,0.844,0.131,18.44,-2.46,9.84,98.86,29.35,3244,3726,834,4.024
[00204] 50,-0.397,0.886,0.109,-5.73,-0.69,4.72,99.27,29.31,3113,3812,853,4.022
[00205] 50,-0.391,0.903,0.127,0.44,0.41,2.37,98.13,29.39,3002,3888,865,4.024
[00206] 51,-0.37,0.922,0.139,3.47,-2.04,9.78,100.27,29.38,2888,3968,884,4.021
[00207] 51,-0.363,0.938,0.144,3.58,1.7,-0.31,98.48,29.37,2834,3995,884,4.024
[00208] 51,-0.32,0.927,0.14,1.67,-1.02,5.31,100.71,29.37,2728,4063,896,4.022
[00209] 51,-0.304,0.926,0.135,4.26,0.95,-0.89,93.52,29.4,2669,4093,881,4.023
[00210] 52,-0.269,0.961,0.135,-4.34,-1.05,6.04,101.66,29.39,2617,4122,896,4.02
[00211] 52,-0.295,0.945,0.153,2.74,-0.73,4.17,96.29,29.36,2552,4151,878,4.021
[00212] 52,-0.26,0.943,0.13,-0.21,1.77,-0.07,100.04,29.39,2479,4196,864,4.022
[00213] 52,-0.247,0.943,0.133,-1.6,-1.24,6.21,100.81,29.4,2420,4236,842,4.027
[00214] 53,-0.227,0.961,0.132,-1.03,-0.93,6.02,97.26,29.43,2351,4253,833,4.021
[00215] 53,-0.223,0.955,0.124,1.8,0.3,0.53,95.52,29.41,2256,4319,823,4.024
[00216] 53,-0.176,0.956,0.1,0.02,-0.73,3.5,92.27,29.4,2203,4341,806,4.019
[00217] 53,-0.168,1.004,0.135,-2.72,-1.88,15.05,100.75,29.41,2037,4359,926,4.025
[00218] 54,0.223,1.201,0.287,-16.02,-13.44,197.61,103.08,29.42,78,4520,1213,4.024
[00219] 54,0.196,0.727,0.41,-37.92,-9.59,19.81,106.16,29.42,-551,4546,1793,4.024
[00220] 54,0.399,1.261,-0.182,75.02,-13.36,-88.02,100.97,29.44,218,4549,1125,4.023
[00221] 54,0.099,0.844,0.13,-42.9,-10.08,80.05,100.93,29.39,182,3527,1478,4.023
[00222] 55,-0.316,0.78,0.222,-49.46,26.37,-15.65,100.66,29.44,268,4977,1763,4.02
[00223] 55,-0.043,0.795,0.339,1.89,-10.99,6.37,100.63,29.42,876,4765,1859,4.021
[00224] 55,-0.057,0.869,0.094,12.3,6.6,-4.54,100.69,29.44,1162,4687,1488,4.02
[00225] 55,0.045,0.852,0.294,-18.18,2.27,40.1,100.58,29.44,745,4652,1781,4.022
[00226] 56,0.063,0.893,0.358,14.61,0.18,-0.36,100.43,29.44,708,4606,1754,4.021
[00227] 56,0.145,1.003,0.25,12.49,0.58,1.92,99.0,29.48,609,4617,1639,4.023
[00228] 56,0.127,0.838,0.345,3.08,-7.02,12.01,96.43,29.43,401,4630,1641,4.021
[00229] 56,0.135,0.948,0.178,5.9,-4.47,10.32,100.96,29.44,89,4657,1438,4.02
[00230] 57,0.408,0.939,0.21,5.5,0.0,11.79,100.74,29.44,-335,4655,1341,4.024
[00231] 57,0.298,0.896,0.203,0.88,-1.31,10.39,102.33,29.45,-564,4602,1325,4.025
[00232] 57,0.451,0.888,0.121,6.66,-15.32,11.88,93.07,29.45,-923,4503,1329,4.02
[00233] 57,0.43,0.77,0.291,-9.74,9.69,9.98,99.33,29.44,-1068,4420,1420,4.018
[00234] 58,0.465,0.776,0.24,-4.14,-3.01,9.47,100.83,29.46,-1286,4321,1457,4.023
[00235] 58,0.594,0.801,0.193,0.34,2.04,12.69,99.71,29.45,-1483,4259,1373,4.024
[00236] 58,0.558,0.767,0.224,2.63,0.45,9.46,96.05,29.49,-1704,4166,1325,4.014
[00237] 58,0.616,0.749,0.195,3.21,-4.05,5.13,103.97,29.44,-1854,4095,1241,4.024
[00238] 59,0.611,0.721,0.201,-1.31,-0.73,9.0,100.4,29.44,-2041,4011,1166,4.024
[00239] 59,0.729,0.703,0.137,1.95,3.15,8.37,94.8,29.46,-2232,3887,1093,4.023
[00240] 59,0.681,0.687,0.164,2.11,-6.46,7.94,101.03,29.45,-2388,3785,1018,4.029
[00241] 59,0.777,0.641,0.122,1.52,4.6,2.92,99.44,29.45,-2507,3687,1019,4.026
[00242] 60,0.716,0.623,0.169,3.54,-4.25,4.64,99.67,29.47,-2562,3609,1029,4.026
[00243] 60,0.775,0.587,0.114,1.77,0.4,7.27,100.8,29.47,-2720,3480,982,4.03
[00244] 60,0.749,0.578,0.134,-5.35,-5.36,9.52,95.89,29.49,-2857,3343,974,4.02
[00245] 60,0.823,0.53,0.146,-0.11,-0.89,10.45,101.07,29.47,-3031,3126,1008,4.027
[00246] 61,0.915,0.432,0.083,9.23,-1.22,8.55,92.19,29.45,-3201,2925,939,4.019
[00247] 61,0.855,0.467,0.131,10.72,-3.92,8.56,100.94,29.48,-3335,2731,893,4.023
[00248] 61,0.959,0.373,0.055,0.37,2.1,7.12,102.61,29.45,-3414,2632,852,4.024
[00249] 61,0.89,0.379,0.091,9.29,-2.97,7.44,97.16,29.47,-3579,2471,728,4.02
[00250] 62,0.969,0.261,0.059,3.73,1.11,9.16,100.52,29.43,-3701,2305,548,4.024
[00251] 62,0.964,0.273,0.039,1.66,-0.58,4.07,98.65,29.48,-3807,2162,472,4.023
[00252] 62,0.973,0.211,0.026,6.37,3.98,5.73,99.62,29.45,-3817,2077,354,4.02
[00253] 62,0.965,0.213,0.037,0.59,6.77,10.94,100.61,29.47,-3861,1880,459,4.02
[00254] 63,0.975,0.145,0.065,-4.53,-1.33,10.19,100.92,29.46,-3941,1646,591,4.019
[00255] 63,0.994,0.065,0.046,5.79,4.73,5.4,94.88,29.48,-3986,1465,633,4.031
[00256] 63,0.975,0.094,0.096,10.3,-3.62,21.25,97.11,29.48,-4051,1200,658,4.02
